Day,Hour,PV output
5/10/2023,1,64.84
5/10/2023,2,191.83
5/10/2023,3,295.09
5/10/2023,4,400.28
5/10/2023,5,464.43
5/10/2023,6,459.49
5/10/2023,7,615.23
5/10/2023,8,550.51
5/10/2023,9,458.17
5/10/2023,10,397.45
5/10/2023,11,328.04
5/10/2023,12,277.18
5/10/2023,13,0.00
5/10/2023,14,0.00
5/10/2023,15,0.00
5/10/2023,16,0.00
5/10/2023,17,0.00
5/10/2023,18,0.00
5/10/2023,19,0.00
5/10/2023,20,0.00
5/10/2023,21,0.00
5/10/2023,22,0.00
5/10/2023,23,2.09
5/11/2023,0,22.91
5/11/2023,1,287.74
5/11/2023,2,381.33
5/11/2023,3,431.99
5/11/2023,4,505.68
5/11/2023,5,560.10
5/11/2023,6,540.64
5/11/2023,7,617.43
5/11/2023,8,564.80
5/11/2023,9,464.17
5/11/2023,10,401.17
5/11/2023,11,317.47
5/11/2023,12,254.42
5/11/2023,13,0.00
5/11/2023,14,0.00
5/11/2023,15,0.00
5/11/2023,16,0.00
5/11/2023,17,0.00
5/11/2023,18,0.00
5/11/2023,19,0.00
5/11/2023,20,0.00
5/11/2023,21,0.00
5/11/2023,22,0.00
5/11/2023,23,2.19
5/12/2023,0,25.05
5/12/2023,1,292.32
5/12/2023,2,390.21
5/12/2023,3,455.22
5/12/2023,4,510.51
5/12/2023,5,500.35
5/12/2023,6,587.79
5/12/2023,7,632.34
5/12/2023,8,525.71
5/12/2023,9,441.00
5/12/2023,10,394.28
5/12/2023,11,310.43
5/12/2023,12,279.91
5/12/2023,13,0.00
5/12/2023,14,0.00
5/12/2023,15,0.00
5/12/2023,16,0.00
5/12/2023,17,0.00
5/12/2023,18,0.00
5/12/2023,19,0.00
5/12/2023,20,0.00
5/12/2023,21,0.00
5/12/2023,22,0.00
5/12/2023,23,2.27
5/13/2023,0,26.07
5/13/2023,1,296.73
5/13/2023,2,378.74
5/13/2023,3,446.92
5/13/2023,4,443.58
5/13/2023,5,486.91
5/13/2023,6,519.22
5/13/2023,7,553.72
5/13/2023,8,490.02
5/13/2023,9,460.37
5/13/2023,10,363.85
5/13/2023,11,290.34
5/13/2023,12,253.57
5/13/2023,13,0.00
5/13/2023,14,0.00
5/13/2023,15,0.00
5/13/2023,16,0.00
5/13/2023,17,0.00
5/13/2023,18,0.00
5/13/2023,19,0.00
5/13/2023,20,0.00
5/13/2023,21,0.00
5/13/2023,22,0.00
5/13/2023,23,1.87
5/14/2023,0,21.32
5/14/2023,1,284.06
5/14/2023,2,360.31
5/14/2023,3,447.58
5/14/2023,4,494.25
5/14/2023,5,492.72
5/14/2023,6,555.52
5/14/2023,7,572.21
5/14/2023,8,530.32
5/14/2023,9,432.41
5/14/2023,10,392.87
5/14/2023,11,296.73
5/14/2023,12,277.55
5/14/2023,13,0.00
5/14/2023,14,0.00
5/14/2023,15,0.00
5/14/2023,16,0.00
5/14/2023,17,0.00
5/14/2023,18,0.00
5/14/2023,19,0.00
5/14/2023,20,0.00
5/14/2023,21,0.00
5/14/2023,22,0.00
5/14/2023,23,2.54
5/15/2023,0,26.11
5/15/2023,3,446.75
5/15/2023,6,563.11
5/15/2023,9,480.89
5/15/2023,12,277.34
5/15/2023,15,0.00
5/15/2023,18,0.00
5/15/2023,21,0.00
5/16/2023,0,22.13
5/16/2023,3,446.87
5/16/2023,6,548.00
5/16/2023,9,426.87
5/16/2023,12,256.96
5/16/2023,15,0.00
5/16/2023,18,0.00
5/16/2023,21,0.00
5/17/2023,0,25.74
5/17/2023,3,440.19
5/17/2023,6,519.79
5/17/2023,9,370.58
5/17/2023,12,205.27
5/17/2023,15,0.00
5/17/2023,18,0.00
5/17/2023,21,0.00
5/18/2023,0,16.16
5/18/2023,3,359.51
5/18/2023,6,460.92
5/18/2023,9,430.26
5/18/2023,12,269.72
5/18/2023,15,0.00
5/18/2023,18,0.00
5/18/2023,21,0.00
5/19/2023,0,18.90
5/19/2023,3,448.38
5/19/2023,6,512.58
5/19/2023,9,489.14
5/19/2023,12,252.57
5/19/2023,15,0.00
5/19/2023,18,0.00
5/19/2023,21,0.00
5/20/2023,0,22.31
5/20/2023,3,414.28
5/20/2023,6,552.56
5/20/2023,9,459.42
5/20/2023,12,255.32
5/20/2023,15,0.00
5/20/2023,18,0.00
5/20/2023,21,0.00
5/21/2023,0,22.68
5/21/2023,3,446.74
5/21/2023,6,573.19
5/21/2023,9,476.37
5/21/2023,12,253.37
5/21/2023,15,0.00
5/21/2023,18,0.00
5/21/2023,21,0.00
5/22/2023,0,18.45
5/22/2023,3,370.19
5/22/2023,6,452.41
5/22/2023,9,398.27
5/22/2023,12,209.78
5/22/2023,15,0.00
5/22/2023,18,0.00
5/22/2023,21,0.00
5/23/2023,0,21.01
5/23/2023,3,345.77
5/23/2023,6,435.96
5/23/2023,9,381.58
5/23/2023,12,226.91
5/23/2023,15,0.00
5/23/2023,18,0.00
5/23/2023,21,0.00
5/24/2023,0,21.29
5/24/2023,3,377.95
5/24/2023,6,424.45
5/24/2023,9,246.86
5/24/2023,12,146.89
5/24/2023,15,0.00
5/24/2023,18,0.00
5/24/2023,21,0.00
5/25/2023,0,18.13
5/25/2023,3,406.09
5/25/2023,6,493.78
5/25/2023,9,431.07
5/25/2023,12,242.62
5/25/2023,15,0.00
5/25/2023,18,0.00
5/25/2023,21,0.00
5/26/2023,0,23.29
