Day,Hour, Cloud cover (%)
5/10/2023,1,100
5/10/2023,2,100
5/10/2023,3,100
5/10/2023,4,100
5/10/2023,5,100
5/10/2023,6,100
5/10/2023,7,93.6
5/10/2023,8,79.4
5/10/2023,9,82.8
5/10/2023,10,85.8
5/10/2023,11,84.1
5/10/2023,12,83.5
5/10/2023,13,71.4
5/10/2023,14,84.6
5/10/2023,15,83.4
5/10/2023,16,87.5
5/10/2023,17,84
5/10/2023,18,75.3
5/10/2023,19,19
5/10/2023,20,42.3
5/10/2023,21,61.3
5/10/2023,22,70.9
5/10/2023,23,75.2
5/11/2023,0,78
5/11/2023,1,67.1
5/11/2023,2,64
5/11/2023,3,49.6
5/11/2023,4,43.3
5/11/2023,5,38.6
5/11/2023,6,35
5/11/2023,7,12.7
5/11/2023,8,13.2
5/11/2023,9,12.7
5/11/2023,10,12
5/11/2023,11,10.1
5/11/2023,12,8.6
5/11/2023,13,2.7
5/11/2023,14,1.4
5/11/2023,15,12
5/11/2023,16,12.1
5/11/2023,17,11.2
5/11/2023,18,13.3
5/11/2023,19,14.7
5/11/2023,20,57.1
5/11/2023,21,60.5
5/11/2023,22,60.7
5/11/2023,23,68.5
5/12/2023,0,59.7
5/12/2023,1,14.9
5/12/2023,2,12.2
5/12/2023,3,13.2
5/12/2023,4,12.7
5/12/2023,5,30.2
5/12/2023,6,41.8
5/12/2023,7,23.2
5/12/2023,8,51
5/12/2023,9,37.3
5/12/2023,10,30.4
5/12/2023,11,40.1
5/12/2023,12,50.1
5/12/2023,13,100
5/12/2023,14,100
5/12/2023,15,89
5/12/2023,16,84.9
5/12/2023,17,83.9
5/12/2023,18,74.7
5/12/2023,19,32.6
5/12/2023,20,20.9
5/12/2023,21,47.3
5/12/2023,22,60.4
5/12/2023,23,67.7
5/13/2023,0,73.1
5/13/2023,1,100
5/13/2023,2,99.2
5/13/2023,3,99.5
5/13/2023,4,98
5/13/2023,5,90.6
5/13/2023,6,80.2
5/13/2023,7,100
5/13/2023,8,100
5/13/2023,9,100
5/13/2023,10,99.5
5/13/2023,11,99.1
5/13/2023,12,98.6
5/13/2023,13,100
5/13/2023,14,99.3
5/13/2023,15,99.5
5/13/2023,16,99.7
5/13/2023,17,98.9
5/13/2023,18,99
5/13/2023,19,43.4
5/13/2023,20,35
5/13/2023,21,51.2
5/13/2023,22,60
5/13/2023,23,66.6
5/14/2023,0,65.7
5/14/2023,1,45.2
5/14/2023,2,32.4
5/14/2023,3,27.8
5/14/2023,4,25.6
5/14/2023,5,37.5
5/14/2023,6,36.2
5/14/2023,7,25.6
5/14/2023,8,23.5
5/14/2023,9,21
5/14/2023,10,22.2
5/14/2023,11,37.7
5/14/2023,12,47.1
5/14/2023,13,31.7
5/14/2023,14,59.6
5/14/2023,15,63.7
5/14/2023,16,52.5
5/14/2023,17,45.3
5/14/2023,18,41.1
5/14/2023,19,14.6
5/14/2023,20,43.2
5/14/2023,21,62.2
5/14/2023,22,71.7
5/14/2023,23,77.3
5/15/2023,0,67.5
5/15/2023,3,21.8
5/15/2023,6,46.1
5/15/2023,9,90
5/15/2023,12,53.3
5/15/2023,15,18.6
5/15/2023,18,20.8
5/15/2023,21,63.6
5/16/2023,0,81.5
5/16/2023,3,72.8
5/16/2023,6,86.2
5/16/2023,9,100
5/16/2023,12,89.6
5/16/2023,15,100
5/16/2023,18,100
5/16/2023,21,100
5/17/2023,0,70.1
5/17/2023,3,33.9
5/17/2023,6,55
5/17/2023,9,100
5/17/2023,12,100
5/17/2023,15,100
5/17/2023,18,100
5/17/2023,21,100
5/18/2023,0,100
5/18/2023,3,91.7
5/18/2023,6,86
5/18/2023,9,25.9
5/18/2023,12,38.4
5/18/2023,15,98.9
5/18/2023,18,99.4
5/18/2023,21,100
5/19/2023,0,100
5/19/2023,3,69.2
5/19/2023,6,72.7
5/19/2023,9,17.8
5/19/2023,12,14.9
5/19/2023,15,70.7
5/19/2023,18,85.2
5/19/2023,21,100
5/20/2023,0,69.5
5/20/2023,3,20.2
5/20/2023,6,14.4
5/20/2023,9,22.4
5/20/2023,12,13.3
5/20/2023,15,4.1
5/20/2023,18,32.5
5/20/2023,21,98
5/21/2023,0,99
5/21/2023,3,10.8
5/21/2023,6,51.6
5/21/2023,9,39.8
5/21/2023,12,32
5/21/2023,15,62.1
5/21/2023,18,78.8
5/21/2023,21,70.9
5/22/2023,0,85.4
5/22/2023,3,99.7
5/22/2023,6,99.9
5/22/2023,9,100
5/22/2023,12,100
5/22/2023,15,100
5/22/2023,18,72.6
5/22/2023,21,32.5
5/23/2023,0,59.1
5/23/2023,3,100
5/23/2023,6,100
5/23/2023,9,100
5/23/2023,12,74.3
5/23/2023,15,12
5/23/2023,18,37.6
5/23/2023,21,49
5/24/2023,0,74.5
5/24/2023,3,100
5/24/2023,6,100
5/24/2023,9,100
5/24/2023,12,100
5/24/2023,15,100
5/24/2023,18,100
5/24/2023,21,100
5/25/2023,0,81.3
5/25/2023,3,59.9
5/25/2023,6,72.3
5/25/2023,9,33.4
5/25/2023,12,54.1
5/25/2023,15,100
5/25/2023,18,100
5/25/2023,21,100
5/26/2023,0,96.5
